RegioS,JongerDan20Jaar_9,Perioden
PV29  ,27.0,2016JJ00
PV29  ,26.0,2017JJ00
PV29  ,23.0,2018JJ00
PV29  ,27.0,2019JJ00
PV29  ,15.0,2020JJ00
PV29  ,25.0,2021JJ00
PV29  ,18.0,2022JJ00
PV29  ,18.0,2023JJ00
PV30  ,370.0,1988JJ00
PV30  ,396.0,1989JJ00
PV30  ,422.0,1990JJ00
PV30  ,340.0,1991JJ00
PV30  ,296.0,1992JJ00
PV30  ,286.0,1993JJ00
PV30  ,282.0,1994JJ00
PV30  ,214.0,1995JJ00
PV30  ,226.0,1996JJ00
PV30  ,217.0,1997JJ00
PV30  ,258.0,1998JJ00
PV30  ,262.0,1999JJ00
PV30  ,300.0,2000JJ00
PV30  ,319.0,2001JJ00
PV30  ,312.0,2002JJ00
PV30  ,297.0,2003JJ00
PV30  ,232.0,2004JJ00
PV30  ,224.0,2005JJ00
PV30  ,204.0,2006JJ00
PV30  ,220.0,2007JJ00
PV30  ,238.0,2008JJ00
PV30  ,237.0,2009JJ00
PV30  ,204.0,2010JJ00
PV30  ,174.0,2011JJ00
PV30  ,158.0,2012JJ00
PV30  ,154.0,2013JJ00
PV30  ,145.0,2014JJ00
PV30  ,128.0,2015JJ00
PV30  ,114.0,2016JJ00
PV30  ,129.0,2017JJ00
PV30  ,100.0,2018JJ00
PV30  ,96.0,2019JJ00
PV30  ,99.0,2020JJ00
PV30  ,70.0,2021JJ00
PV30  ,94.0,2022JJ00
PV30  ,62.0,2023JJ00
PV31  ,173.0,1988JJ00
PV31  ,145.0,1989JJ00
PV31  ,165.0,1990JJ00
PV31  ,148.0,1991JJ00
PV31  ,154.0,1992JJ00
PV31  ,134.0,1993JJ00
PV31  ,138.0,1994JJ00
PV31  ,121.0,1995JJ00
PV31  ,132.0,1996JJ00
PV31  ,119.0,1997JJ00
PV31  ,116.0,1998JJ00
PV31  ,144.0,1999JJ00
PV31  ,139.0,2000JJ00
PV31  ,146.0,2001JJ00
PV31  ,180.0,2002JJ00
PV31  ,161.0,2003JJ00
PV31  ,155.0,2004JJ00
PV31  ,150.0,2005JJ00
PV31  ,125.0,2006JJ00
PV31  ,123.0,2007JJ00
PV31  ,118.0,2008JJ00
PV31  ,117.0,2009JJ00
PV31  ,104.0,2010JJ00
PV31  ,95.0,2011JJ00
PV31  ,104.0,2012JJ00
PV31  ,96.0,2013JJ00
PV31  ,80.0,2014JJ00
PV31  ,81.0,2015JJ00
PV31  ,86.0,2016JJ00
PV31  ,63.0,2017JJ00
PV31  ,52.0,2018JJ00
PV31  ,52.0,2019JJ00
PV31  ,48.0,2020JJ00
PV31  ,46.0,2021JJ00
PV31  ,49.0,2022JJ00
PV31  ,47.0,2023JJ00
CR01  ,26.0,1988JJ00
CR01  ,29.0,1989JJ00
CR01  ,33.0,1990JJ00
CR01  ,34.0,1991JJ00
CR01  ,28.0,1992JJ00
CR01  ,19.0,1993JJ00
CR01  ,16.0,1994JJ00
CR01  ,30.0,1995JJ00
CR01  ,26.0,1996JJ00
CR01  ,16.0,1997JJ00
CR01  ,16.0,1998JJ00
CR01  ,16.0,1999JJ00
CR01  ,21.0,2000JJ00
