RegioS,MannenEnVrouwen_4,Perioden
CR05  ,9.6,2019JJ00
CR05  ,10.0,2020JJ00
CR05  ,10.8,2021JJ00
CR05  ,11.0,2022JJ00
CR05  ,11.0,2023JJ00
CR06  ,9.3,1988JJ00
CR06  ,9.8,1989JJ00
CR06  ,9.5,1990JJ00
CR06  ,9.3,1991JJ00
CR06  ,9.6,1992JJ00
CR06  ,10.1,1993JJ00
CR06  ,9.2,1994JJ00
CR06  ,9.7,1995JJ00
CR06  ,9.7,1996JJ00
CR06  ,9.6,1997JJ00
CR06  ,9.2,1998JJ00
CR06  ,9.8,1999JJ00
CR06  ,9.3,2000JJ00
CR06  ,9.5,2001JJ00
CR06  ,9.3,2002JJ00
CR06  ,9.3,2003JJ00
CR06  ,8.9,2004JJ00
CR06  ,9.3,2005JJ00
CR06  ,9.7,2006JJ00
CR06  ,9.0,2007JJ00
CR06  ,9.1,2008JJ00
CR06  ,9.0,2009JJ00
CR06  ,8.8,2010JJ00
