RegioS,WerkzameBeroepsbevolking_3,Perioden
GM0482,10.0,2017JJ00
GM0482,10.0,2018JJ00
GM0482,10.0,2019JJ00
GM0482,10.0,2020JJ00
GM0482,10.0,2021JJ00
GM0482,11.0,2022JJ00
GM0482,11.0,2023JJ00
GM0613,13.0,2013JJ00
GM0613,13.0,2014JJ00
GM0613,13.0,2015JJ00
GM0613,13.0,2016JJ00
GM0613,13.0,2017JJ00
GM0613,14.0,2018JJ00
GM0613,14.0,2019JJ00
GM0613,14.0,2020JJ00
GM0613,14.0,2021JJ00
GM0613,14.0,2022JJ00
GM0613,15.0,2023JJ00
GM0361,55.0,2013JJ00
GM0361,54.0,2014JJ00
GM0361,55.0,2015JJ00
GM0361,56.0,2016JJ00
GM0361,56.0,2017JJ00
GM0361,58.0,2018JJ00
GM0361,59.0,2019JJ00
GM0361,58.0,2020JJ00
GM0361,59.0,2021JJ00
GM0361,60.0,2022JJ00
GM0361,62.0,2023JJ00
GM0141,34.0,2013JJ00
GM0141,32.0,2014JJ00
GM0141,33.0,2015JJ00
GM0141,33.0,2016JJ00
GM0141,34.0,2017JJ00
GM0141,36.0,2018JJ00
GM0141,37.0,2019JJ00
GM0141,36.0,2020JJ00
GM0141,37.0,2021JJ00
GM0141,38.0,2022JJ00
GM0141,39.0,2023JJ00
GM0034,100.0,2013JJ00
GM0034,98.0,2014JJ00
GM0034,100.0,2015JJ00
GM0034,103.0,2016JJ00
GM0034,106.0,2017JJ00
GM0034,110.0,2018JJ00
GM0034,113.0,2019JJ00
GM0034,114.0,2020JJ00
GM0034,117.0,2021JJ00
GM0034,123.0,2022JJ00
GM0034,126.0,2023JJ00
GM0484,56.0,2013JJ00
GM0484,56.0,2014JJ00
GM0484,56.0,2015JJ00
GM0484,57.0,2016JJ00
GM0484,58.0,2017JJ00
GM0484,60.0,2018JJ00
GM0484,60.0,2019JJ00
GM0484,60.0,2020JJ00
GM0484,61.0,2021JJ00
GM0484,64.0,2022JJ00
GM0484,64.0,2023JJ00
GM1723,5.0,2013JJ00
GM1723,5.0,2014JJ00
GM1723,5.0,2015JJ00
GM1723,5.0,2016JJ00
GM1723,5.0,2017JJ00
GM1723,5.0,2018JJ00
GM1723,5.0,2019JJ00
GM1723,6.0,2020JJ00
GM1723,6.0,2021JJ00
GM1723,6.0,2022JJ00
GM1723,6.0,2023JJ00
GM1959,27.0,2013JJ00
GM1959,27.0,2014JJ00
GM1959,27.0,2015JJ00
GM1959,28.0,2016JJ00
GM1959,29.0,2017JJ00
GM1959,29.0,2018JJ00
