Regiokenmerken,VoortijdigSchoolverlaters_2,Perioden
GM0310 ,80.0,2018SJ00
GM0310 ,60.0,2019SJ00
GM0310 ,80.0,2020SJ00
GM0310 ,70.0,2021SJ00
GM0310 ,90.0,2022SJ00
GM0585 ,40.0,2012SJ00
GM0585 ,40.0,2013SJ00
GM0585 ,20.0,2014SJ00
GM0585 ,30.0,2015SJ00
GM0585 ,50.0,2016SJ00
GM0585 ,50.0,2017SJ00
GM0585 ,50.0,2018SJ00
GM0585 ,,2019SJ00
GM0585 ,,2020SJ00
GM0585 ,,2021SJ00
GM0585 ,,2022SJ00
GM1728 ,30.0,2012SJ00
GM1728 ,40.0,2013SJ00
GM1728 ,20.0,2014SJ00
GM1728 ,20.0,2015SJ00
GM1728 ,20.0,2016SJ00
GM1728 ,30.0,2017SJ00
GM1728 ,20.0,2018SJ00
GM1728 ,20.0,2019SJ00
GM1728 ,20.0,2020SJ00
GM1728 ,20.0,2021SJ00
GM1728 ,30.0,2022SJ00
GM0376 ,20.0,2012SJ00
GM0376 ,20.0,2013SJ00
GM0376 ,20.0,2014SJ00
GM0376 ,10.0,2015SJ00
GM0376 ,20.0,2016SJ00
GM0376 ,30.0,2017SJ00
GM0376 ,40.0,2018SJ00
GM0376 ,20.0,2019SJ00
GM0376 ,30.0,2020SJ00
GM0376 ,30.0,2021SJ00
GM0376 ,30.0,2022SJ00
GM0377 ,50.0,2012SJ00
GM0377 ,50.0,2013SJ00
GM0377 ,50.0,2014SJ00
GM0377 ,50.0,2015SJ00
GM0377 ,60.0,2016SJ00
GM0377 ,50.0,2017SJ00
GM0377 ,40.0,2018SJ00
GM0377 ,40.0,2019SJ00
GM0377 ,30.0,2020SJ00
GM0377 ,50.0,2021SJ00
GM0377 ,40.0,2022SJ00
GM0055 ,20.0,2012SJ00
GM0055 ,20.0,2013SJ00
GM0055 ,,2014SJ00
GM0055 ,,2015SJ00
GM0055 ,,2016SJ00
GM0055 ,,2017SJ00
GM0055 ,,2018SJ00
GM0055 ,,2019SJ00
GM0055 ,,2020SJ00
GM0055 ,,2021SJ00
GM0055 ,,2022SJ00
GM1901 ,50.0,2012SJ00
GM1901 ,50.0,2013SJ00
