ID,Value,Year
CR13,13.4,2000
CR13,13.0,2001
CR13,12.9,2002
CR13,12.6,2003
CR13,12.3,2004
CR13,11.5,2005
CR13,11.8,2006
CR13,11.2,2007
CR13,11.7,2008
CR13,11.3,2009
CR13,11.3,2010
CR13,11.0,2011
CR13,10.8,2012
CR13,10.7,2013
CR13,10.7,2014
CR13,10.6,2015
CR13,10.7,2016
CR13,10.4,2017
CR13,10.4,2018
CR13,10.4,2019
CR13,10.5,2020
CR13,10.9,2021
CR13,10.2,2022
CR14,11.4,1988
CR14,11.6,1989
CR14,12.3,1990
CR14,12.4,1991
CR14,12.4,1992
CR14,12.0,1993
CR14,12.3,1994
CR14,11.7,1995
CR14,11.6,1996
CR14,11.7,1997
CR14,12.1,1998
CR14,12.3,1999
CR14,12.7,2000
CR14,12.0,2001
CR14,12.3,2002
CR14,11.8,2003
CR14,11.5,2004
CR14,10.4,2005
CR14,10.4,2006
CR14,10.0,2007
CR14,9.6,2008
CR14,9.4,2009
CR14,9.1,2010
CR14,8.7,2011
CR14,8.3,2012
CR14,8.1,2013
CR14,8.2,2014
CR14,8.0,2015
CR14,7.9,2016
CR14,8.0,2017
CR14,7.7,2018
CR14,8.1,2019
CR14,8.0,2020
CR14,8.3,2021
CR14,7.7,2022
CR15,12.0,1988
CR15,12.3,1989
CR15,12.8,1990
CR15,12.9,1991
CR15,12.3,1992
CR15,12.5,1993
CR15,12.6,1994
CR15,12.1,1995
CR15,12.2,1996
CR15,12.2,1997
CR15,12.6,1998
CR15,12.3,1999
CR15,12.7,2000
CR15,12.1,2001
CR15,12.3,2002
CR15,11.9,2003
CR15,11.3,2004
CR15,11.0,2005
CR15,10.9,2006
CR15,10.3,2007
CR15,10.8,2008
CR15,10.7,2009
CR15,10.5,2010
CR15,10.2,2011
CR15,9.8,2012
CR15,9.6,2013
CR15,9.7,2014
CR15,9.5,2015
CR15,9.2,2016
CR15,9.3,2017
CR15,9.0,2018
CR15,8.8,2019
CR15,9.2,2020
CR15,9.4,2021
CR15,8.9,2022
CR16,13.8,1988
CR16,13.7,1989
CR16,14.6,1990
CR16,14.4,1991
CR16,14.6,1992
CR16,14.1,1993
CR16,13.9,1994
CR16,13.9,1995
CR16,13.4,1996
CR16,13.9,1997
CR16,14.3,1998
CR16,14.6,1999
CR16,14.9,2000
CR16,14.7,2001
CR16,14.2,2002
CR16,14.2,2003
CR16,12.6,2004
CR16,12.6,2005
CR16,12.2,2006
CR16,11.7,2007
