RegioS,k_45JaarOfOuder_15,Perioden
CR01  ,2.0,2009JJ00
CR01  ,1.0,2010JJ00
CR01  ,1.0,2011JJ00
CR01  ,5.0,2012JJ00
CR01  ,3.0,2013JJ00
CR01  ,2.0,2014JJ00
CR01  ,1.0,2015JJ00
CR01  ,1.0,2016JJ00
CR01  ,3.0,2017JJ00
CR01  ,4.0,2018JJ00
CR01  ,1.0,2019JJ00
CR01  ,2.0,2020JJ00
CR01  ,2.0,2021JJ00
CR01  ,1.0,2022JJ00
CR01  ,6.0,2023JJ00
CR02  ,0.0,1988JJ00
CR02  ,1.0,1989JJ00
CR02  ,0.0,1990JJ00
CR02  ,1.0,1991JJ00
CR02  ,0.0,1992JJ00
CR02  ,0.0,1993JJ00
CR02  ,0.0,1994JJ00
CR02  ,1.0,1995JJ00
CR02  ,2.0,1996JJ00
CR02  ,1.0,1997JJ00
CR02  ,0.0,1998JJ00
CR02  ,0.0,1999JJ00
CR02  ,0.0,2000JJ00
CR02  ,1.0,2001JJ00
CR02  ,1.0,2002JJ00
CR02  ,2.0,2003JJ00
CR02  ,0.0,2004JJ00
CR02  ,0.0,2005JJ00
CR02  ,1.0,2006JJ00
CR02  ,0.0,2007JJ00
CR02  ,0.0,2008JJ00
CR02  ,0.0,2009JJ00
CR02  ,4.0,2010JJ00
CR02  ,0.0,2011JJ00
CR02  ,2.0,2012JJ00
CR02  ,0.0,2013JJ00
CR02  ,1.0,2014JJ00
CR02  ,0.0,2015JJ00
CR02  ,1.0,2016JJ00
CR02  ,3.0,2017JJ00
CR02  ,0.0,2018JJ00
CR02  ,0.0,2019JJ00
CR02  ,0.0,2020JJ00
CR02  ,1.0,2021JJ00
CR02  ,0.0,2022JJ00
CR02  ,0.0,2023JJ00
CR03  ,3.0,1988JJ00
CR03  ,3.0,1989JJ00
CR03  ,3.0,1990JJ00
CR03  ,4.0,1991JJ00
CR03  ,4.0,1992JJ00
CR03  ,8.0,1993JJ00
CR03  ,5.0,1994JJ00
CR03  ,5.0,1995JJ00
CR03  ,4.0,1996JJ00
CR03  ,3.0,1997JJ00
CR03  ,0.0,1998JJ00
CR03  ,4.0,1999JJ00
CR03  ,7.0,2000JJ00
CR03  ,2.0,2001JJ00
CR03  ,6.0,2002JJ00
CR03  ,0.0,2003JJ00
CR03  ,9.0,2004JJ00
CR03  ,6.0,2005JJ00
CR03  ,6.0,2006JJ00
CR03  ,5.0,2007JJ00
CR03  ,4.0,2008JJ00
CR03  ,4.0,2009JJ00
CR03  ,3.0,2010JJ00
CR03  ,9.0,2011JJ00
CR03  ,6.0,2012JJ00
CR03  ,9.0,2013JJ00
CR03  ,6.0,2014JJ00
CR03  ,8.0,2015JJ00
CR03  ,7.0,2016JJ00
CR03  ,7.0,2017JJ00
CR03  ,4.0,2018JJ00
CR03  ,6.0,2019JJ00
CR03  ,12.0,2020JJ00
CR03  ,11.0,2021JJ00
CR03  ,10.0,2022JJ00
CR03  ,9.0,2023JJ00
CR04  ,0.0,1988JJ00
CR04  ,2.0,1989JJ00
CR04  ,1.0,1990JJ00
CR04  ,1.0,1991JJ00
CR04  ,2.0,1992JJ00
CR04  ,0.0,1993JJ00
CR04  ,4.0,1994JJ00
CR04  ,2.0,1995JJ00
CR04  ,2.0,1996JJ00
CR04  ,2.0,1997JJ00
CR04  ,1.0,1998JJ00
CR04  ,4.0,1999JJ00
CR04  ,5.0,2000JJ00
CR04  ,7.0,2001JJ00
CR04  ,4.0,2002JJ00
CR04  ,3.0,2003JJ00
CR04  ,3.0,2004JJ00
CR04  ,1.0,2005JJ00
CR04  ,7.0,2006JJ00
CR04  ,0.0,2007JJ00
CR04  ,2.0,2008JJ00
CR04  ,3.0,2009JJ00
CR04  ,6.0,2010JJ00
CR04  ,3.0,2011JJ00
CR04  ,4.0,2012JJ00
CR04  ,2.0,2013JJ00
CR04  ,8.0,2014JJ00
CR04  ,5.0,2015JJ00
CR04  ,8.0,2016JJ00
CR04  ,7.0,2017JJ00
CR04  ,4.0,2018JJ00
CR04  ,3.0,2019JJ00
CR04  ,5.0,2020JJ00
CR04  ,4.0,2021JJ00
CR04  ,9.0,2022JJ00
CR04  ,8.0,2023JJ00
CR05  ,3.0,1988JJ00
CR05  ,1.0,1989JJ00
CR05  ,0.0,1990JJ00
CR05  ,1.0,1991JJ00
